,Topline_csat,billing_csat,client_id,claim_csat_t3b,role,ee_csat_t3b_tem,ee_csat_t3b_vb,ee_csat_t3b_ltd,billing_m,issue_m,csat_onbrd,lives_group,Tenure_bin,hrc_flag,total_leave_indicator,has_TCS,BrkrSeg_1,DataFeedInd,LTD_ind,STD_ind,Dent_ind,VSN_ind,LIF_ind,ADD_ind,VB_ind,FML_ind,issue_handling_csat
7984,10,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
7985,7,9,394675845,1,3,1,0.333333333,,,,,,,,,,,,,,,,,,,,
7986,6,6,809559,1,3,1,,,0.666666667,0.545454545,10,LT100,GT10,0,FALSE,0,g. $500K - $5M,Y,1,0,0,1,1,1,0,0,8
7987,10,9,1470810730,1,3,1,1,,,,,,,,,,,,,,,,,,,,
7988,4,3,153066563,0,2,0,,,0.75,0.928571429,10,100to499,6to10,0,FALSE,0,f. $50K - $500K,Y,1,0,1,1,1,1,1,0,10
7989,10,10,1226818009,1,3,1,,,0.363636364,0.083333333,7,500to1999,6to10,1,FALSE,0,g. $500K - $5M,N,1,1,0,0,1,1,0,0,
7990,9,9,1534253075,1,2,1,,,,,,,,,,,,,,,,,,,,,
7991,10,10,620791,,4,,,,0.5,1,10,LT100,6to10,0,FALSE,0,g. $500K - $5M,N,1,1,0,0,1,1,0,0,10
7992,5,4,5.55555E+15,0,2,0,,,,,,,,,,,,,,,,,,,,,
7993,10,10,1584794719,1,1,1,,,,,,,,,,,,,,,,,,,,,
7994,9,7,1467165508,1,4,1,,,2,0.24137931,,500to1999,GT10,1,FALSE,0,f. $50K - $500K,N,0,1,0,0,1,1,1,0,
7995,9,9,565461,1,3,1,,,0,0.916666667,10,LT100,GT10,0,FALSE,0,g. $500K - $5M,N,1,1,0,0,1,1,0,0,
7996,10,10,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
7997,10,10,5.55555E+15,1,2,1,0.833333333,,,,,,,,,,,,,,,,,,,,
7998,8,9,868986,,3,,,,0,0.555555556,10,LT100,GT10,0,TRUE,0,f. $50K - $500K,N,1,0,0,0,1,1,0,0,
7999,10,10,815979724,1,2,1,,,2.25,0.833333333,10,LT100,3to5,0,FALSE,0,f. $50K - $500K,Y,1,0,0,0,1,1,0,0,9
8000,9,10,1224603457,0,3,0,,,,,,,,,,,,,,,,,,,,,8
8001,8,11,1550205267,0.8,3,0.8,,0.909090909,,,,,,,,,,,,,,,,,,,
8002,10,10,1070751952,1,2,1,,,,,,,,,,,,,,,,,,,,,
8003,7,3,5.55555E+15,0,4,0,,,,,,,,,,,,,,,,,,,,,10
8004,5,5,5.55555E+15,0,3,0,,,,,,,,,,,,,,,,,,,,,
8005,6,11,617661194,0,3,0.5625,0.625,1,0,0.029850746,7,GTE2000,GT10,0,FALSE,1,g. $500K - $5M,N,1,1,0,0,1,1,0,1,
8006,9,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
8007,10,10,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
8008,4,4,905524001,0,2,0.681818182,0,1,0.25,0.015,9,GTE2000,GT10,0,TRUE,1,g. $500K - $5M,N,1,1,0,0,1,1,0,1,
8009,2,4,508750919,,2,,,,,,,,,,,,,,,,,,,,,,
8010,10,10,848395,1,4,1,,,,,,,,,,,,,,,,,,,,,
8011,7,5,844841,0.666666667,1,0.666666667,,,,,,,,,,,,,,,,,,,,,
8012,5,10,5.55555E+15,0,1,0,,,,,,,,,,,,,,,,,,,,,
8013,10,8,5.55555E+15,1,3,0.5,,,,,,,,,,,,,,,,,,,,,
8014,9,9,1583641217,1,3,1,,,,,,,,,,,,,,,,,,,,,
8015,8,9,5.55555E+15,,3,,,,,,,,,,,,,,,,,,,,,,
8016,10,10,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
8017,10,10,1194444949,1,3,1,,,0,0.347826087,9,100to499,6to10,1,FALSE,0,h. $5M - $50M,Y,1,1,0,0,1,1,1,0,
8018,4,8,5.55555E+15,0,2,0,,,,,,,,,,,,,,,,,,,,,
8019,10,9,509727,1,4,1,,,,,,,,,,,,,,,,,,,,,
8020,10,10,647982,,1,,,,0,0.142857143,10,100to499,1,1,FALSE,1,h. $5M - $50M,N,1,0,0,0,1,1,0,0,
8021,8,8,485055,1,4,1,,,0,0,10,LT100,GT10,0,FALSE,0,f. $50K - $500K,N,1,0,0,0,1,1,0,0,
8022,9,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
8023,9,10,1493438371,1,2,0.714285714,,,,,,,,,,,,,,,,,,,,,4
8024,8,8,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
8025,10,10,477810016,0,2,0,,,0,0,10,100to499,6to10,0,FALSE,0,h. $5M - $50M,N,0,0,0,0,1,1,0,0,
8026,6,5,509117903,0,3,0,,,,,,,,,,,,,,,,,,,,,
8027,8,8,344724505,1,3,1,,,0,0,10,500to1999,,0,TRUE,0,z. Unknown,N,0,0,0,0,0,0,1,0,
8028,9,9,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
8029,9,9,634906,1,2,1,,,1,0,10,100to499,1,0,TRUE,0,g. $500K - $5M,N,1,0,0,0,1,1,0,0,
8030,2,6,523670,0,4,0.444444444,,,,,,,,,,,,,,,,,,,,,
8031,10,10,5.55555E+15,,1,,,,1,0,10,LT100,6to10,0,TRUE,0,g. $500K - $5M,N,0,0,0,0,1,1,0,0,8
8032,9,10,5.55555E+15,,1,,,,,,,,,,,,,,,,,,,,,,
8033,9,9,467436,1,2,1,1,,,,,,,,,,,,,,,,,,,,
8034,8,8,5.55555E+15,1,3,0.9,,,,,,,,,,,,,,,,,,,,,
8035,2,3,5.55555E+15,,1,,,,,,,,,,,,,,,,,,,,,,
8036,10,10,757431771,1,2,1,,,0,0,10,100to499,GT10,0,TRUE,0,e. <$50K,N,0,0,0,0,1,1,0,0,
8037,10,10,577824372,1,2,0,,0,,,,,,,,,,,,,,,,,,,
8038,10,10,87475254,1,2,1,,,,,,,,,,,,,,,,,,,,,
8039,10,10,1400929713,1,1,0.6,0.909090909,1,0,0,2,GTE2000,GT10,0,FALSE,0,g. $500K - $5M,Y,1,1,0,0,1,1,1,0,
8040,1,1,678372,0,2,1,1,,,,,,,,,,,,,,,,,,,,
8041,8,9,1068745212,0.4,4,0.4,,1,0.333333333,0.5,10,100to499,GT10,0,FALSE,1,h. $5M - $50M,Y,1,1,0,0,1,1,0,1,
8042,9,10,643454945,1,4,1,,,0,0,10,LT100,3to5,0,FALSE,0,g. $500K - $5M,N,0,0,0,0,1,1,0,0,
8043,7,7,5.55555E+15,,4,0,,,,,,,,,,,,,,,,,,,,,8
8044,8,9,1530785045,1,4,1,0.818181818,,,,,,,,,,,,,,,,,,,,
8045,9,11,576300964,1,3,1,,,0,0,7,500to1999,3to5,0,TRUE,0,h. $5M - $50M,N,0,0,0,0,1,1,0,0,
8046,9,9,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,10
8047,8,10,5.55555E+15,0,3,0,,,,,,,,,,,,,,,,,,,,,
8048,10,10,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
8049,9,9,1249796917,1,1,1,,,0,0.333333333,10,100to499,3to5,1,FALSE,1,h. $5M - $50M,N,1,1,1,1,1,1,1,0,
8050,8,8,1146475735,1,3,1,,,8,0.016806723,10,500to1999,6to10,1,TRUE,1,g. $500K - $5M,N,1,1,0,0,1,1,0,1,
